site,grid,fac,height_diff,sd_relief
CR,20,8,2.608549953,0.636109933
CR,20,16,2.399578113,0.633562106
CR,20,32,2.260553618,0.629889336
CR,21,1,2.498052597,0.636527618
CR,21,2,2.404070616,0.635743129
CR,21,4,2.34652552,0.634509538
CR,21,8,2.316624783,0.632264723
CR,21,16,2.213865923,0.628650084
CR,21,32,2.169753506,0.622927592
CR,22,1,1.620936394,0.256417481
CR,22,2,1.587860346,0.255971795
CR,22,4,1.520365477,0.255128577
CR,22,8,1.483369067,0.253453353
CR,22,16,1.381131608,0.250748517
CR,22,32,1.140908992,0.245342376
CR,23,1,1.812607765,0.31242271
CR,23,2,1.787065744,0.311868015
CR,23,4,1.746003866,0.310948602
CR,23,8,1.61918661,0.309591444
CR,23,16,1.439730931,0.307066997
CR,23,32,1.340261625,0.303416181
CR,24,1,1.495941162,0.252220199
CR,24,2,1.488414764,0.251403874
CR,24,4,1.46057874,0.250150035
CR,24,8,1.239340976,0.248024652
CR,24,16,1.126690548,0.245037978
CR,24,32,1.027857529,0.239862092
CR,25,1,2.938838005,0.643220879
CR,25,2,2.866303921,0.642742039
CR,25,4,2.816993475,0.641937586
CR,25,8,2.680467412,0.64057251
CR,25,16,2.619837992,0.638248902
CR,25,32,2.597456866,0.633425587
CR,26,1,2.671134949,0.493479407
CR,26,2,2.661934853,0.493026554
CR,26,4,2.6390903,0.492287951
CR,26,8,2.565751925,0.490974551
CR,26,16,2.380561639,0.488832401
CR,26,32,2.232314186,0.485208681
CR,27,1,1.756376266,0.261500285
CR,27,2,1.655225992,0.260787309
CR,27,4,1.535491586,0.259577483
CR,27,8,1.526289389,0.25751571
CR,27,16,1.456371885,0.253914837
CR,27,32,1.28844614,0.247609267
CR,28,1,2.17815876,0.481449791
CR,28,2,2.165851831,0.480966547
CR,28,4,2.093897641,0.480155083
CR,28,8,2.059263468,0.478847106
CR,28,16,1.970342886,0.476402425
CR,28,32,1.879953836,0.472858685
CR,29,1,2.647110939,0.592912095
CR,29,2,2.62083602,0.592332505
CR,29,4,2.583989203,0.59141396
CR,29,8,2.507747531,0.589745232
CR,29,16,2.327524476,0.586461471
CR,29,32,2.199119371,0.581849518
CR,30,1,1.827741623,0.467943997
CR,30,2,1.782153845,0.467182794
CR,30,4,1.702178061,0.465976314
CR,30,8,1.653982371,0.46367726
CR,30,16,1.591979984,0.459769692
CR,30,32,1.511312452,0.453002027
CR,31,1,1.904438019,0.385933418
CR,31,2,1.810899019,0.3854458
CR,31,4,1.614454985,0.384537769
CR,31,8,1.577302136,0.382884066
CR,31,16,1.540014958,0.379995921
CR,31,32,1.441275912,0.373470944
CR,32,1,2.966527939,0.57567799
CR,32,2,2.96207881,0.574890171
CR,32,4,2.929866254,0.573725901
CR,32,8,2.777611285,0.571577747
CR,32,16,2.710617047,0.568191766
CR,32,32,2.591037995,0.560991163
CR,33,1,1.54580307,0.200667736
CR,33,2,1.456195593,0.200076783
CR,33,4,1.344698131,0.19906723
CR,33,8,1.236027688,0.197247396
CR,33,16,1.190859023,0.194206295
CR,33,32,1.090318146,0.188808424
CR,34,1,1.442287445,0.221842848
CR,34,2,1.353814363,0.221178169
CR,34,4,1.268313408,0.220199742
CR,34,8,1.203006297,0.218479545
CR,34,16,1.090780385,0.21587048
CR,34,32,1.023102309,0.212046217
CR,35,1,2.157050133,0.480194423
CR,35,2,2.109943151,0.479670387
CR,35,4,2.038237512,0.478805212
CR,35,8,1.961317152,0.477256459
CR,35,16,1.838995941,0.474453655
CR,35,32,1.760404775,0.468991202
CR,36,1,1.787150383,0.289019557
CR,36,2,1.773676157,0.288464951
CR,36,4,1.749987364,0.28757525
CR,36,8,1.692533717,0.285666372
CR,36,16,1.635852218,0.282289523
CR,36,32,1.537413154,0.277022746
CR,37,1,3.097588062,0.72942039
CR,37,2,3.040484548,0.728664927
CR,37,4,2.99252972,0.727579452
CR,37,8,2.944971196,0.725659317
CR,37,16,2.74641674,0.722372714
CR,37,32,2.608850049,0.714439443
CR,38,1,1.135232925,0.181359959
CR,38,2,1.000081658,0.181097401
CR,38,4,0.91989848,0.180675627
CR,38,8,0.838031694,0.179842542
CR,38,16,0.823444834,0.17805237
CR,38,32,0.790777805,0.17346974
CR,39,1,0.82601738,0.198640214
CR,39,2,0.806228399,0.198568171
CR,39,4,0.785720706,0.198441904
CR,39,8,0.758014008,0.198168319
CR,39,16,0.725953162,0.197596392
CR,39,32,0.645610302,0.196483843
CR,40,1,2.870377541,0.698277914
CR,40,2,2.818691492,0.697519709
CR,40,4,2.7123079,0.696424703
CR,40,8,2.627174266,0.69467511
