site,trans,grid,x,y,outplant
NDRC,b,70,12,4,0
NDRC,c,71,12,5,0
NDRC,c,72,12,6,0
NDRC,a,73,13,1,0
NDRC,a,74,13,2,0
NDRC,b,75,13,3,0
NDRC,b,76,13,4,0
NDRC,c,77,13,5,0
NDRC,c,78,13,6,0
NDRC,a,79,14,1,0
NDRC,a,80,14,2,0
NDRC,b,81,14,3,0
NDRC,b,82,14,4,0
NDRC,c,83,14,5,0
NDRC,c,84,14,6,0
NDRC,a,85,15,1,0
NDRC,a,86,15,2,0
NDRC,b,87,15,3,0
NDRC,b,88,15,4,0
NDRC,c,89,15,5,0
NDRC,c,90,15,6,0
NDRC,a,91,16,1,0
NDRC,a,92,16,2,0
NDRC,b,93,16,3,0
NDRC,b,94,16,4,0
NDRC,c,95,16,5,0
NDRC,c,96,16,6,0
PR,a,1,1,1,0
PR,a,2,1,2,0
PR,a,3,1,3,0
PR,a,4,1,4,0
PR,a,5,1,5,0
PR,a,6,1,6,0
PR,a,7,1,7,1
PR,a,8,1,8,1
PR,a,9,1,9,1
PR,a,10,1,10,1
PR,a,11,2,1,0
PR,a,12,2,2,1
PR,a,13,2,3,1
PR,a,14,2,4,0
PR,a,15,2,5,0
PR,a,16,2,6,0
PR,a,17,2,7,1
PR,a,18,2,8,1
PR,a,19,2,9,1
PR,a,20,2,10,1
PR,b,21,3,1,1
PR,b,22,3,2,0
PR,b,23,3,3,0
PR,b,24,3,4,1
PR,b,25,3,5,0
PR,b,26,3,6,0
PR,b,27,3,7,1
PR,b,28,3,8,1
PR,b,29,3,9,1
PR,b,30,3,10,1
PR,b,31,4,1,1
PR,b,32,4,2,0
PR,b,33,4,3,0
PR,b,34,4,4,1
PR,b,35,4,5,0
PR,b,36,4,6,0
PR,b,37,4,7,1
PR,b,38,4,8,1
PR,b,39,4,9,1
PR,b,40,4,10,1
PR,c,41,5,1,0
PR,c,42,5,2,0
PR,c,43,5,3,1
PR,c,44,5,4,1
PR,c,45,5,5,0
PR,c,46,5,6,1
PR,c,47,5,7,1
PR,c,48,5,8,0
PR,c,49,5,9,1
PR,c,50,5,10,1
PR,c,51,6,1,0
PR,c,52,6,2,0
PR,c,53,6,3,1
PR,c,54,6,4,1
PR,c,55,6,5,1
PR,c,56,6,6,1
PR,c,57,6,7,1
PR,c,58,6,8,1
PR,c,59,6,9,1
PR,c,60,6,10,1
PR,d,61,7,1,0
PR,d,62,7,2,0
PR,d,63,7,3,0
PR,d,64,7,4,1
PR,d,65,7,5,1
PR,d,66,7,6,0
PR,d,67,7,7,0
PR,d,68,7,8,0
PR,d,69,7,9,1
PR,d,70,7,10,1
PR,d,71,8,1,0
PR,d,72,8,2,0
PR,d,73,8,3,0
PR,d,74,8,4,1
PR,d,75,8,5,1
PR,d,76,8,6,1
PR,d,77,8,7,0
PR,d,78,8,8,0
PR,d,79,8,9,0
PR,d,80,8,10,1
PR,e,81,9,1,0
PR,e,82,9,2,1
PR,e,83,9,3,1
PR,e,84,9,4,1
PR,e,85,9,5,1
PR,e,86,9,6,1
PR,e,87,9,7,0
PR,e,88,9,8,0
PR,e,89,9,9,0
PR,e,90,9,10,1
PR,e,91,10,1,0
PR,e,92,10,2,0
PR,e,93,10,3,0
PR,e,94,10,4,1
PR,e,95,10,5,1
PR,e,96,10,6,0
PR,e,97,10,7,0
PR,e,98,10,8,0
PR,e,99,10,9,0
PR,e,100,10,10,1
PC,a,1,1,1,0
PC,a,2,1,2,0
PC,a,3,1,3,0
PC,a,4,1,4,0
PC,a,5,1,5,0
PC,a,6,1,6,0
PC,a,7,1,7,0
PC,a,8,1,8,0
PC,a,9,1,9,0
PC,a,10,1,10,0
PC,a,11,2,1,0
PC,a,12,2,2,0
PC,a,13,2,3,0
PC,a,14,2,4,0
PC,a,15,2,5,0
PC,a,16,2,6,0
PC,a,17,2,7,0
PC,a,18,2,8,0
PC,a,19,2,9,0
PC,a,20,2,10,0
PC,b,21,3,1,0
PC,b,22,3,2,0
PC,b,23,3,3,0
PC,b,24,3,4,0
PC,b,25,3,5,0
PC,b,26,3,6,0
PC,b,27,3,7,0
PC,b,28,3,8,0
PC,b,29,3,9,0
PC,b,30,3,10,0
PC,b,31,4,1,0
PC,b,32,4,2,0
PC,b,33,4,3,0
PC,b,34,4,4,0
PC,b,35,4,5,0
PC,b,36,4,6,0
PC,b,37,4,7,0
PC,b,38,4,8,0
PC,b,39,4,9,0
PC,b,40,4,10,0
PC,c,41,5,1,0
PC,c,42,5,2,0
PC,c,43,5,3,0
PC,c,44,5,4,0
PC,c,45,5,5,0
PC,c,46,5,6,0
PC,c,47,5,7,0
PC,c,48,5,8,0
PC,c,49,5,9,0
PC,c,50,5,10,0
PC,c,51,6,1,0
PC,c,52,6,2,0
PC,c,53,6,3,0
PC,c,54,6,4,0
PC,c,55,6,5,0
PC,c,56,6,6,0
PC,c,57,6,7,0
PC,c,58,6,8,0
PC,c,59,6,9,0
PC,c,60,6,10,0
PC,d,61,7,1,0
PC,d,62,7,2,0
PC,d,63,7,3,0
PC,d,64,7,4,0
PC,d,65,7,5,0
PC,d,66,7,6,0
PC,d,67,7,7,0
PC,d,68,7,8,0
PC,d,69,7,9,0
PC,d,70,7,10,0
PC,d,71,8,1,0
PC,d,72,8,2,0
PC,d,73,8,3,0
PC,d,74,8,4,0
PC,d,75,8,5,0
PC,d,76,8,6,0
PC,d,77,8,7,0
PC,d,78,8,8,0
PC,d,79,8,9,0
PC,d,80,8,10,0
PC,e,81,9,1,0
PC,e,82,9,2,0
PC,e,83,9,3,0
PC,e,84,9,4,0
PC,e,85,9,5,0
PC,e,86,9,6,0
PC,e,87,9,7,0
PC,e,88,9,8,0
PC,e,89,9,9,0
PC,e,90,9,10,0
PC,e,91,10,1,0
PC,e,92,10,2,0
PC,e,93,10,3,0
PC,e,94,10,4,0
PC,e,95,10,5,0
PC,e,96,10,6,0
PC,e,97,10,7,0
PC,e,98,10,8,0
PC,e,99,10,9,0
PC,e,100,10,10,0
